sample	species	date	latitude	longitude	elevation	datum	location	collectors	population	seed	notes	meta_source	parsed_date	errors
CCA0819	Eucalyptus lansdowneana		-32.58333333	135.25	96	WGS84	Scrubby Peak, Gawler Ranges, South Australia	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0823	Eucalyptus\xa0fibrosa\xa0subsp.\xa0nubilis		-27.05611111	150.5094444			Tara, Qld	Dean Nicolle				dp15		
CCA0831	Eucalyptus notabilis		-33.69694444	150.5477778	390	WGS84	Blue Mountains, New South Wales.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0835	Eucalyptus amplifolia subsp. amplifolia		-35.09472222	150.1155556			Nerriga, NSW	Dean Nicolle				dp15		
CCA0837	Corymbia eximia		-33.38972222	150.9825	40	WGS84	Hawksbury River scarp near Wisemans Ferry, New South Wales.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0841	Eucalyptus dura		-26.35166667	150.8558333			Barakula State Forest, Qld	Dean Nicolle				dp15		
CCA0848	Eucalyptus panda		-27.1325	150.4833333	385	WGS84	Qld.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0858	Eucalyptus siderophloia		-26.13555556	152.5805556			Gympie, Qld	Dean Nicolle				dp15		
CCA0859	Eucalyptus cambageana		-24.70666667	150.0144444			Moura, Qld	Dean Nicolle				dp15		
CCA0863	Eucalyptus orgadophila		-24.41027778	148.9005556			Rolleston, Qld	Dean Nicolle				dp15		
CCA0866	Corymbia citriodora		-24.225	148.2333333	334	WGS84	Springsure to Rolleston road, south-east of Springsure, Queensland.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0895	Eucalyptus parramattensis subsp. decadens		-32.78305556	151.8872222			Williamstown, NSW	Dean Nicolle				dp15		
CCA0904	Eucalyptus cloeziana		-25.18472222	149.9891667	305	WGS84	Liechhardt Highway, Isla Gorge National Park, Queensland.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0920	Eucalyptus nobilis		-31.86111111	150.1663889	600	WGS84	NSW	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0923	Eucalyptus hallii		-25.17	152.3722222			Goodwood, Qld	Dean Nicolle				dp15		
CCA0927	Eucalyptus ancophila		-30.81638889	152.8533333			Eungai Creek, NSW	Dean Nicolle				dp15		
CCA0931	Eucalyptus mannifera subsp. 'Alpine Victoria'		-36.96055556	147.4794444	663	WGS84	Vic.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0933	Eucalyptus pauciflora subsp. pauciflora		-37.91666667	140.9	73	WGS84	Snow Gum Reserve - central track, SA	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0937	Corymbia gummifera							Dean Nicolle				dp15		no_latlong
CCA0941	Eucalyptus populnea subsp. populnea		-27.11666667	150.6933333	345	WGS84	Tara Kogan Road, south-west of Kogan, Queensland.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0949	Eucalyptus vicina		-31.55111111	146.6913889			Hermidale, NSW	Dean Nicolle				dp15		
CCA0951	Eucalyptus rossii		-30.82472222	149.4713889	345	WGS84	NSW	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0956	Eucalyptus interstans		-28.92888889	152.3938889			Drake, NSW	Dean Nicolle				dp15		
CCA0964	Eucalyptus michaeliana		-30.59083333	151.9552778	1014	WGS84	NSW	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0965	Eucalyptus michaeliana		-30.59083333	151.9552778	1014	WGS84	NSW	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0971	Eucalyptus fusiformis		-30.9025	152.8533333	99	WGS84	NSW	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA0980	Eucalyptus paniculata		-32.24861111	152.1916667			Bulahdelah, NSW	Dean Nicolle				dp15		
CCA1033	Eucalyptus victrix		-24.01777778	113.4880556			Lake Macleod, WA	Dean Nicolle				dp15		
CCA1037	Eucalyptus roycei		-26.70277778	114.1825	91	WGS84		Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA1085	Eucalyptus odorata		-34.71666667	135.9166667	0	WGS84	Middle part of Boston Island off Eyre Peninsula, South Australia.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA1111	Eucalyptus extrica		-33.585	123.5783333	146	WGS84		Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA1122	Eucalyptus urna		-32.82361111	123.5325	144	WGS84		Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA1130	Eucalyptus normantonensis		-23.63583333	132.5672222			MacDonnell Ranges, NT	Dean Nicolle				dp15		
CCA1135	Eucalyptus camaldulensis subsp. arida		-23.20416667	131.5602778	592	WGS84		Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA1139	Eucalyptus largiflorens		-34.01333333	141.9258333			Wentworth, NSW	Dean Nicolle				dp15		
CCA1184	Eucalyptus absita		-30.43694444	115.5755556			Badgingarra, WA	Dean Nicolle				dp15		
