run	library	sample	include	project	date
2020_Borevitz_UWA_S4	E_gomphocephala_1	Eucalyptus_gomphocephala	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_gomphocephala_2	Eucalyptus_gomphocephala	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_grandis_1	Eucalyptus_grandis	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_grandis_2	Eucalyptus_grandis	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_laeliae_1	Eucalyptus_laeliae	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_laeliae_2	Eucalyptus_laeliae	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_leucophloia_1	Eucalyptus_leucophloia	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_leucophloia_2	Eucalyptus_leucophloia	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Eucalyptus_marginata_ANBG_1	Eucalyptus_marginata_ANBG	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Eucalyptus_marginata_ANBG_2	Eucalyptus_marginata_ANBG	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Eucalyptus_melliodora_1	EmelCSIRO	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Eucalyptus_melliodora_2	EmelCSIRO	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Eucalyptus_microcorys_ANBG_1	Eucalyptus_microcorys_ANBG	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Eucalyptus_microcorys_ANBG_2	Eucalyptus_microcorys_ANBG	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Eucalyptus_morrisbyi_UTAS_Campus_1	Eucalyptus_morrisbyi_UTAS_Campus	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Eucalyptus_morrisbyi_UTAS_Campus_2	Eucalyptus_morrisbyi_UTAS_Campus	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_ovata_1	Eucalyptus_ovata	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_ovata_2	Eucalyptus_ovata	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_patens_1	Eucalyptus_patens	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_patens_2	Eucalyptus_patens	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_pterocarpa_1	Eucalyptus_pterocarpa	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_pterocarpa_2	Eucalyptus_pterocarpa	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_pumila_1	Eucalyptus_pumila	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_pumila_2	Eucalyptus_pumila	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_pyriformis_1	Eucalyptus_pyriformis	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_pyriformis_2	Eucalyptus_pyriformis	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_regnans_Centurion_1	Eucalyptus_regnans_Centurion	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_regnans_Centurion_2	Eucalyptus_regnans_Centurion	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_relicta_Whicher_1	Eucalyptus_relicta_Whicher	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_relicta_Whicher_2	Eucalyptus_relicta_Whicher	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Eucalyptus_salubris_ANBG_1	Eucalyptus_salubris_ANBG	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Eucalyptus_salubris_ANBG_2	Eucalyptus_salubris_ANBG	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_scyphocalyx_1	Eucalyptus_scyphocalyx	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_scyphocalyx_2	Eucalyptus_scyphocalyx	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Eucalyptus_sideroxylon_ANBG_1	Eucalyptus_sideroxylon_ANBG	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Eucalyptus_sideroxylon_ANBG_2	Eucalyptus_sideroxylon_ANBG	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Eucalyptus_tenuipes_ANBG_1	Eucalyptus_tenuipes_ANBG	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Eucalyptus_tenuipes_ANBG_2	Eucalyptus_tenuipes_ANBG	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Eucalyptus_tricarpa_Arboretum_ACT_1	Eucalyptus_tricarpa_Arboretum_ACT	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Eucalyptus_tricarpa_Arboretum_ACT_2	Eucalyptus_tricarpa_Arboretum_ACT	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Eucalyptus_viminalis_Tasmanian_Herbarium_1	Eucalyptus_viminalis_Tasmanian_Herbarium	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	Eucalyptus_viminalis_Tasmanian_Herbarium_2	Eucalyptus_viminalis_Tasmanian_Herbarium	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_virginea_1	Eucalyptus_virginea	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	E_virginea_2	Eucalyptus_virginea	Y	EucPan	2020-01
2020_Borevitz_UWA_S4	CMB0002	CMB0002	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	CMB0003	CMB0003	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	CMB0004	CMB0004	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	CMB0005	CMB0005	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	CMD0001	CMD0001	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	EMW0001	EMW0001	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	EMW0001_rep	EMW0001	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	EMW0002	EMW0002	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	EMW0002_rep	EMW0002	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	EMW0003	EMW0003	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	EMW0003_rep	EMW0003	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	EMW0004	EMW0004	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	EMW0005	EMW0005	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	EMW0006	EMW0006	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0001	GOL0001	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0002	GOL0002	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0003	GOL0003	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0004	GOL0004	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0005	GOL0005	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0006	GOL0006	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0007	GOL0007	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0008	GOL0008	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0009	GOL0009	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0010	GOL0010	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0011	GOL0011	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0012	GOL0012	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0013	GOL0013	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0014	GOL0014	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0015	GOL0015	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0016	GOL0016	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0017	GOL0017	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0018	GOL0018	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0019	GOL0019	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0020	GOL0020	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0021	GOL0021	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0022	GOL0022	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0023	GOL0023	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0024	GOL0024	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0025	GOL0025	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0026	GOL0026	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0027	GOL0027	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0028	GOL0028	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0029	GOL0029	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0030	GOL0030	Y	HBDecra	2020-01
2020_Borevitz_UWA_S4	GOL0031	GOL0031	Y	HBDecra	2020-01
